;AP;HP;NI;NM;NY;VB
NY09;0;0;0;0;1;0
NY13;0;0;0;0;1;0
NY14;0;0;0;0;1;0
NY15;0;0;0;0;1;0
NY16;0;0;0;0;1;0
NY17;0;0;0;0;1;0
NY18;0;0;0;0;1;0
NY19;0;0;0;0;1;0
NY20;0;0;0;0;1;0
NY20-1;0;0;0;0;1;0
NY23;0;0;0;0;1;0
NY24;0;0;0;0;1;0
NY25;0;0;0;0;1;0
NY26;0;0;0;0;1;0
NY34;0;0;0;0;1;0
NY35;0;0;0;0;1;0
NY342;0;0;0;0;1;0
NY36;0;0;0;0;1;0
NY37;0;0;0;0;1;0
NY41;0;0;0;0;1;0
NY42;0;0;0;0;1;0
VB01;0;0;0;0;0;1
VB02;0;0;0;0;0;1
VB03;0;0;0;0;0;1
VB04;0;0;0;0;0;1
VB05;0;0;0;0;0;1
VB06;0;0;0;0;0;1
VB07;0;0;0;0;0;1
VB08;0;0;0;0;0;1
VB09;0;0;0;0;0;1
VB10;0;0;0;0;0;1
VB11;0;0;0;0;0;1
VB12;0;0;0;0;0;1
VB13;0;0;0;0;0;1
VB14;0;0;0;0;0;1
VB15;0;0;0;0;0;1
VB16;0;0;0;0;0;1
VB25;0;0;0;0;0;1
VB27;0;0;0;0;0;1
VB28;0;0;0;0;0;1
VB29;0;0;0;0;0;1
VB30;0;0;0;0;0;1
VB31;0;0;0;0;0;1
VB32;0;0;0;0;0;1
VB33;0;0;0;0;0;1
VB34;0;0;0;0;0;1
VB35;0;0;0;0;0;1
VB36;0;0;0;0;0;1
VB37;0;0;0;0;0;1
VB38;0;0;0;0;0;1
VB39;0;0;0;0;0;1
VB40;0;0;0;0;0;1
VB63;0;0;0;0;0;1
VB64;0;0;0;0;0;1
VB65;0;0;0;0;0;1
VB666;0;0;0;0;0;1
VB67;0;0;0;0;0;1
VB68;0;0;0;0;0;1
VB71;0;0;0;0;0;1
VB72;0;0;0;0;0;1
VB73;0;0;0;0;0;1
VB74;0;0;0;0;0;1
VB77;0;0;0;0;0;1
VB78;0;0;0;0;0;1
VB80;0;0;0;0;0;1
VB82;0;0;0;0;0;1

